index	name	offset	size	crc32	in_bounds
134	LINEDEFS	2696576	48776	63613e6e	yes
135	SIDEDEFS	2745352	155400	1e4f40a1	yes
136	VERTEXES	2900752	12724	9dc62895	yes
137	SEGS	2913476	68088	c6a06035	yes
138	SSECTORS	2981564	6280	86936d1a	yes
139	NODES	2987844	43932	8bd9ab06	yes
140	SECTORS	3031776	18252	04c103fd	yes
141	REJECT	3050028	61601	7768e04a	yes
142	BLOCKMAP	3111632	16890	7945ce9b	yes
143	E2M5	3128524	0		yes
144	THINGS	3128524	4070	b709ae68	yes
145	LINEDEFS	3132596	28322	2925f30e	yes
146	SIDEDEFS	3160920	90480	25f1c5e5	yes
147	VERTEXES	3251400	8000	750872d6	yes
148	SEGS	3259400	40704	a5115229	yes
149	SSECTORS	3300104	4096	d646a30c	yes
150	NODES	3304200	28644	d26fb130	yes
151	SECTORS	3332844	10972	2d080b82	yes
152	REJECT	3343816	22261	dd6370b6	yes
153	BLOCKMAP	3366080	11468	28fb3dcc	yes
154	E2M6	3377548	0		yes
155	THINGS	3377548	3970	8d2e10f1	yes
156	LINEDEFS	3381520	30044	6a482945	yes
157	SIDEDEFS	3411564	92520	1f0c1e59	yes
158	VERTEXES	3504084	7856	fbab2be2	yes
159	SEGS	3511940	40152	d621f624	yes
160	SSECTORS	3552092	3736	ec96d221	yes
161	NODES	3555828	26124	167829b5	yes
162	SECTORS	3581952	10218	9471fc79	yes
163	REJECT	3592172	19307	12a2de23	yes
164	BLOCKMAP	3611480	10122	77255f8a	yes
165	E2M7	3621604	0		yes
166	THINGS	3621604	5780	b405e562	yes
167	LINEDEFS	3627384	62048	3e1cdbab	yes
168	SIDEDEFS	3689432	201450	261898c0	yes
169	VERTEXES	3890884	16788	d7bba62d	yes
170	SEGS	3907672	90048	51d2b808	yes
171	SSECTORS	3997720	9068	6ad8fbdf	yes
172	NODES	4006788	63448	85738548	yes
173	SECTORS	4070236	22438	177ecbc1	yes
174	REJECT	4092676	93097	0977335e	yes
175	BLOCKMAP	4185776	23572	65e2328f	yes
176	E2M8	4209348	0		yes
177	THINGS	4209348	700	ec4c16e5	yes
178	LINEDEFS	4210048	5096	e8ea328b	yes
179	SIDEDEFS	4215144	14790	43bdcc44	yes
180	VERTEXES	4229936	1340	4c248a25	yes
181	SEGS	4231276	6504	9cb8655a	yes
182	SSECTORS	4237780	580	7e7d886f	yes
183	NODES	4238360	4032	349e0912	yes
184	SECTORS	4242392	1404	06ef6c36	yes
185	REJECT	4243796	365	dd7d460e	yes
186	BLOCKMAP	4244164	3036	c24e8eee	yes
187	E2M9	4247200	0		yes
188	THINGS	4247200	5890	967f868e	yes
189	LINEDEFS	4253092	87836	995e4c03	yes
190	SIDEDEFS	4340928	264180	694368d9	yes
191	VERTEXES	4605108	24320	178119e2	yes
192	SEGS	4629428	112884	489751c9	yes
193	SSECTORS	4742312	12144	767add6a	yes
194	NODES	4754456	84980	7012f14f	yes
195	SECTORS	4839436	20280	b1dd2d61	yes
196	REJECT	4859716	76050	004a2fa1	yes
197	BLOCKMAP	4935768	25090	e74997e5	yes
198	E3M1	4960860	0		yes
199	THINGS	4960860	1560	b0da0b0c	yes
200	LINEDEFS	4962420	10724	6ad5d87f	yes
201	SIDEDEFS	4973144	34860	e0accc12	yes
202	VERTEXES	5008004	3340	f72c79f6	yes
203	SEGS	5011344	16404	104f36a3	yes
204	SSECTORS	5027748	2244	6865de2e	yes
205	NODES	5029992	15680	9682ab96	yes
206	SECTORS	5045672	2886	870be805	yes
207	REJECT	5048560	1541	ca320138	yes
208	BLOCKMAP	5050104	7516	94273068	yes
209	E3M2	5057620	0		yes
210	THINGS	5057620	1950	4099b5b4	yes
211	LINEDEFS	5059572	8750	d2f390dd	yes
212	SIDEDEFS	5068324	26910	d6f26925	yes
213	VERTEXES	5095236	2396	46235da6	yes
214	SEGS	5097632	12228	290996ba	yes
215	SSECTORS	5109860	1344	d7213d51	yes
216	NODES	5111204	9380	9ffd4301	yes
217	SECTORS	5120584	3614	df20de32	yes
218	REJECT	5124200	2416	a95ef1cc	yes
219	BLOCKMAP	5126616	4846	7d7e9d5b	yes
220	E3M3	5131464	0		yes
221	THINGS	5131464	6770	1f8839ca	yes
222	LINEDEFS	5138236	55916	33a919b5	yes
223	SIDEDEFS	5194152	183060	9ab4a0ab	yes
224	VERTEXES	5377212	16568	3d8f361d	yes
225	SEGS	5393780	82704	23282694	yes
226	SSECTORS	5476484	8764	e14bec26	yes
227	NODES	5485248	61320	23c81736	yes
228	SECTORS	5546568	19110	82a8499d	yes
229	REJECT	5565680	67529	041ea101	yes
230	BLOCKMAP	5633212	21686	0c778d50	yes
231	E3M4	5654900	0		yes
232	THINGS	5654900	5600	dfbd7e27	yes
233	LINEDEFS	5660500	30170	a68f8f4c	yes
234	SIDEDEFS	5690672	97200	1ff2fd8f	yes
235	VERTEXES	5787872	7892	bd9493d9	yes
236	SEGS	5795764	42096	5388c227	yes
237	SSECTORS	5837860	4264	532de855	yes
238	NODES	5842124	29820	6d1b1f73	yes
239	SECTORS	5871944	11024	8ba4864b	yes
240	REJECT	5882968	22472	fbb0f369	yes
241	BLOCKMAP	5905440	16676	b4500c3e	yes
242	E3M5	5922116	0		yes
243	THINGS	5922116	4620	5905943f	yes
244	LINEDEFS	5926736	42406	aa5844de	yes
245	SIDEDEFS	5969144	131250	f83e58c4	yes
246	VERTEXES	6100396	11748	99d9ac7b	yes
247	SEGS	6112144	57372	f001ac9a	yes
248	SSECTORS	6169516	6020	18039427	yes
249	NODES	6175536	42112	4aff6335	yes
250	SECTORS	6217648	11414	dd0a5f6d	yes
251	REJECT	6229064	24091	8faaffc0	yes
252	BLOCKMAP	6253156	18006	d872f41a	yes
253	E3M6	6271164	0		yes
254	THINGS	6271164	2250	ffedfd94	yes
255	LINEDEFS	6273416	18564	c2cd5ece	yes
256	SIDEDEFS	6291980	62100	0bcba8df	yes
257	VERTEXES	6354080	5200	b94ae9dd	yes
258	SEGS	6359280	27072	ba84ba32	yes
259	SSECTORS	6386352	3112	b49ace3a	yes
260	NODES	6389464	21756	d79540be	yes
261	SECTORS	6411220	4758	7b9a0192	yes
262	REJECT	6415980	4187	d8b6debd	yes
263	BLOCKMAP	6420168	9256	596ccd68	yes
264	E3M7	6429424	0		yes
265	THINGS	6429424	4550	8ad97b3d	yes
266	LINEDEFS	6433976	34636	73da7cb5	yes
267	SIDEDEFS	6468612	113010	cd919d7b	yes
268	VERTEXES	6581624	9776	7f2062b3	yes
269	SEGS	6591400	48468	b51c16b3	yes
270	SSECTORS	6639868	6336	29113369	yes
271	NODES	6646204	44324	a2104919	yes
272	SECTORS	6690528	7488	4cbf6125	yes
273	REJECT	6698016	10368	dd3970e7	yes
274	BLOCKMAP	6708384	17842	5ae0fd6f	yes
275	E3M8	6726228	0		yes
276	THINGS	6726228	1490	91d7ad7b	yes
277	LINEDEFS	6727720	6216	928c2d3a	yes
278	SIDEDEFS	6733936	17640	7600d29e	yes
279	VERTEXES	6751576	1716	e14761e2	yes
280	SEGS	6753292	7452	d98e2542	yes
281	SSECTORS	6760744	912	c4c73f50	yes
282	NODES	6761656	6356	477f6f05	yes
283	SECTORS	6768012	858	022ee97b	yes
284	REJECT	6768872	137	523363b4	yes
285	BLOCKMAP	6769012	2764	947d13f3	yes
286	E3M9	6771776	0		yes
287	THINGS	6771776	5840	5882c3ee	yes
288	LINEDEFS	6777616	63700	72b01660	yes
289	SIDEDEFS	6841316	207510	2a470884	yes
290	VERTEXES	7048828	19212	08063954	yes
291	SEGS	7068040	93588	58733b3a	yes
292	SSECTORS	7161628	10448	4f60e380	yes
293	NODES	7172076	73108	d2a70874	yes
294	SECTORS	7245184	13910	1937f477	yes
295	REJECT	7259096	35779	4fa3869e	yes
296	BLOCKMAP	7294876	23260	90b51f19	yes
297	E4M1	7318136	0		yes
298	THINGS	7318136	3330	6b2238d8	yes
299	LINEDEFS	7321468	27650	9f73859c	yes
300	SIDEDEFS	7349120	86340	8af8e832	yes
301	VERTEXES	7435460	7420	0f50d401	yes
302	SEGS	7442880	38100	7bd196a5	yes
303	SSECTORS	7480980	3936	c1fcec22	yes
304	NODES	7484916	27524	090221cf	yes
305	SECTORS	7512440	8424	f32c6397	yes
306	REJECT	7520864	13122	6544fe56	yes
307	BLOCKMAP	7533988	13524	0a228e39	yes
308	E4M2	7547512	0		yes
309	THINGS	7547512	8560	283db583	yes
310	LINEDEFS	7556072	61964	20017470	yes
311	SIDEDEFS	7618036	188160	dbffbf80	yes
312	VERTEXES	7806196	16024	545b283e	yes
313	SEGS	7822220	81780	ee175c1b	yes
314	SSECTORS	7904000	7768	b57d4808	yes
315	NODES	7911768	54348	c9d46b01	yes
316	SECTORS	7966116	21580	83e22a05	yes
317	REJECT	7987696	86113	e71e2fcc	yes
318	BLOCKMAP	8073812	27148	b721486f	yes
319	E4M3	8100960	0		yes
320	THINGS	8100960	4960	480ef24c	yes
321	LINEDEFS	8105920	30128	b340801c	yes
322	SIDEDEFS	8136048	89670	b5f72c99	yes
323	VERTEXES	8225720	7764	29e7ac20	yes
324	SEGS	8233484	39144	3292f3b6	yes
325	SSECTORS	8272628	3816	54c5ccc4	yes
326	NODES	8276444	26684	1245719d	yes
327	SECTORS	8303128	10842	945f6222	yes
328	REJECT	8313972	21737	f7f78449	yes
329	BLOCKMAP	8335712	15694	88b55315	yes
330	E4M4	8351408	0		yes
331	THINGS	8351408	5560	e89f2f05	yes
332	LINEDEFS	8356968	25396	04d79dc0	yes
333	SIDEDEFS	8382364	77880	854487fd	yes
334	VERTEXES	8460244	6420	191a117b	yes
335	SEGS	8466664	34068	ec7a5f64	yes
336	SSECTORS	8500732	3408	3cd28418	yes
337	NODES	8504140	23828	5ff402d8	yes
338	SECTORS	8527968	10270	29b0ac31	yes
339	REJECT	8538240	19504	cdff3aee	yes
340	BLOCKMAP	8557744	13120	35743db6	yes
341	E4M5	8570864	0		yes
342	THINGS	8570864	5060	08006e66	yes
343	LINEDEFS	8575924	28588	ee68e895	yes
344	SIDEDEFS	8604512	86400	6c425564	yes
345	VERTEXES	8690912	7224	494dc96f	yes
346	SEGS	8698136	37320	d18a5ec2	yes
347	SSECTORS	8735456	3848	36f1ada5	yes
348	NODES	8739304	26908	6cd5840e	yes
349	SECTORS	8766212	10426	31d91437	yes
350	REJECT	8776640	20101	59419d3b	yes
351	BLOCKMAP	8796744	12206	707254e3	yes
352	E4M6	8808952	0		yes
353	THINGS	8808952	6940	fe8a7c44	yes
354	LINEDEFS	8815892	40194	32571171	yes
355	SIDEDEFS	8856088	116040	022d561f	yes
